x,y,ÉfÅ[É^ãÊä‘
0.003021,-0.226412,-1
-0.336346,0.036683,-0.9
-0.351846,-0.450949,-0.8
0.159222,-0.945994,-0.7
0.208413,-0.203962,-0.6
0.031802,-0.505024,-0.5
0.752624,0.227058,-0.4
0.636191,-0.413328,-0.3
-0.936338,-0.010005,-0.2
-0.001559,0.801104,-0.1
-0.850414,0.049596,0
-0.655016,0.1122,0.1
0.62042,0.309402,0.2
-0.501552,-0.508071,0.3
0.575752,-0.278343,0.4
-0.616159,-0.623446,0.5
-0.693144,-0.489203,0.6
0.127607,-0.299122,0.7
0.198487,0.95506,0.8
0.540431,0.01744,0.9
-0.64299,0.202506,1
0.946915,-0.06579,
-0.51383,-0.809205,
-0.188999,0.487996,
-0.733953,-0.370297,
-0.133016,-0.590246,
-0.219069,-0.864438,
0.676282,-0.536438,
-0.20429,-0.494029,
0.954327,0.112883,
-0.803906,-0.151164,
-0.711302,0.103125,
0.843855,-0.174384,
0.73178,0.015607,
-0.163,-0.52573,
-0.727061,-0.495108,
0.953575,-0.080247,
0.482494,0.241827,
-0.781738,0.207299,
-0.055495,0.298495,
-0.462522,-0.539912,
0.124933,0.73792,
-0.856607,0.001941,
0.182663,-0.974295,
-0.209259,-0.010878,
0.013223,-0.759706,
-0.508114,-0.754791,
0.169843,-0.444563,
-0.936823,-0.061877,
-0.043533,-0.657054,
-0.600665,-0.306924,
0.863975,-0.083337,
-0.664089,-0.255131,
-0.271389,-0.232196,
0.297639,-0.560084,
0.769253,-0.101615,
0.069365,0.822682,
-0.808174,0.016074,
-0.329736,-0.828815,
-0.121952,-0.650186,
-0.87773,0.474856,
-0.842154,0.494589,
0.374248,0.918393,
0.028358,-0.39427,
-0.174179,-0.423169,
0.378396,0.643002,
0.029333,-0.00036,
0.924476,0.252375,
0.900039,-0.022775,
0.654037,-0.459774,
-0.218077,-0.207085,
0.67241,0.138047,
-0.444233,0.702345,
0.742432,-0.635828,
-0.679207,-0.31808,
-0.884216,-0.008068,
0.647891,0.080957,
-0.769626,-0.065193,
0.910893,0.158432,
-0.049266,0.98498,
-0.333081,0.851132,
0.27527,-0.524301,
0.95282,-0.289581,
0.628001,-0.139985,
-0.270103,-0.596154,
0.638773,0.66189,
-0.420979,-0.354989,
-0.569464,0.017152,
-0.319858,-0.803245,
0.297123,0.714805,
0.91632,-0.165037,
0.252611,0.606007,
-0.464623,0.076045,
0.322654,-0.1478,
0.548479,-0.59209,
-0.092741,0.29768,
-0.248017,0.560651,
-0.244397,-0.556048,
-0.772164,-0.484739,
-0.418496,-0.605607,
-0.053368,0.051694,
-0.961837,-0.163036,
0.590092,0.545804,
-0.553664,-0.356594,
-0.074504,0.81273,
0.612623,-0.510291,
-0.145077,0.675384,
-0.464197,-0.674979,
-0.921954,-0.1074,
0.302337,0.352369,
0.008011,-0.354849,
0.842575,0.088778,
-0.618984,-0.21044,
-0.275881,0.260446,
-0.971868,0.193295,
0.23071,0.532449,
-0.035954,0.728799,
-0.16589,0.88154,
-0.804655,-0.495749,
-0.127289,-0.338671,
