x,y
-0.409812,-0.102176
0.454109,-0.435728
-0.925460,0.617209
0.180848,0.463389
-0.624301,0.121749
0.735906,-0.042607
-0.085857,-0.558586
-0.041779,-0.176444
-0.415290,-0.542109
0.378263,-0.179711
-0.186179,0.354955
0.194894,0.359255
0.256905,-0.353755
-0.395291,0.246773
0.732777,-0.656821
-0.311119,-0.050270
-0.030402,0.069072
-0.006891,0.103560
-0.026335,0.449610
-0.170974,0.454327
-0.320318,0.043695
0.295961,-0.472462
-0.409583,0.383975
0.124170,0.366816
0.279806,0.457436
0.656622,-0.196249
0.290594,0.445390
-0.274372,-0.409819
0.170992,0.806653
0.128557,-0.039317
0.246375,-0.634877
-0.382771,0.145059
0.516982,-0.089554
-0.156881,0.336368
-0.446750,0.066021
-0.005448,0.217870
-0.665388,-0.641194
0.429487,0.386370
-0.083005,-0.356440
0.290978,0.021913
-0.127157,0.116667
-0.198926,-0.165303
-0.667815,0.404845
0.884916,0.121790
-0.243966,-0.133375
-0.342071,0.887934
0.299727,-0.270966
0.188349,0.449542
-0.915829,0.649980
-0.475180,-0.240151
0.336181,-0.347801
-0.586034,-0.168841
-0.542704,-0.002207
-0.016006,-0.091049
-0.011460,-0.480993
0.275225,-0.689217
-0.259942,0.792130
-0.316650,0.658532
0.117355,-0.243463
-0.392117,0.523621
0.053699,0.019593
0.518366,-0.281967
-0.125711,-0.394843
-0.674315,0.611151
-0.361010,-0.224434
-0.415469,0.306236
-0.085347,0.194683
-0.716068,-0.526253
-0.095997,0.458037
0.297325,-0.304487
-0.288655,-0.256175
0.575207,-0.157416
-0.201419,-0.148486
0.080084,-0.046507
0.343997,-0.038802
-0.191515,-0.260181
-0.204546,-0.359855
-0.297894,0.011481
-0.376773,-0.133893
0.370491,0.015905
0.571438,0.388213
0.100664,-0.559848
-0.120719,0.372985
-0.462145,-0.637633
-0.387645,-0.160332
0.355949,0.432894
-0.319244,0.105788
0.215786,0.239548
-0.056412,-0.446280
-0.857760,0.162940
0.258711,0.183845
-0.012903,-0.189407
-0.167121,0.741430
0.129791,0.587450
0.811197,-0.174579
-0.792396,0.102198
-0.096059,0.176830
0.296753,-0.691169
-0.195258,-0.288563
0.798875,-0.797800
-0.200587,0.398757
0.519734,0.070333
-0.208212,-0.031087
0.091489,0.582407
0.382995,0.065062
-0.445537,0.213900
0.043599,-0.132211
-0.016470,0.079039
-0.511501,0.161240
-0.228013,-0.046123
-0.251080,0.398140
0.193777,0.126274
0.156707,-0.520796
-0.018445,0.523079
-0.219335,0.468268
-0.386081,0.460854
-0.390734,-0.048949
-0.552790,-0.011265
-0.349431,0.052478
-0.005066,0.460099
-0.062043,-0.322490
-0.282249,0.556877
0.302914,-0.141695
-0.280962,-0.046387
-0.131115,0.173119
-0.156303,0.032175
0.294891,-0.013110
0.130612,-0.112648
-0.278615,-0.544087
0.491404,0.260271
-0.362339,-0.483257
0.438388,-0.000116
0.533455,-0.369103
-0.376544,0.055612
-0.045459,0.496771
-0.533470,0.300174
-0.673736,0.557862
0.041487,0.074202
-0.756855,-0.085230
0.207131,0.195608
0.006696,0.309155
-0.027103,-0.010959
-0.867219,0.037042
0.245660,0.225002
0.071679,-0.076048
0.661518,-0.215468
0.663699,0.388475
-0.559470,-0.740676
0.209439,-0.081378
-0.025587,0.004455
-0.631332,-0.347079
-0.155856,0.645547
-0.172075,-0.324424
0.446504,0.468979
0.268395,-0.766250
-0.318985,-0.319684
0.249193,0.212213
0.768171,0.142646
-0.130236,-0.015196
0.036261,0.098413
-0.776098,-0.316505
0.355231,-0.653293
-0.189243,-0.475085
-0.178333,0.961013
-0.451217,-0.255559
0.121779,-0.054878
0.095411,0.523350
0.076147,-0.041764
0.228428,-0.616847
-0.404761,0.096017
-0.495229,-0.110754
-0.407899,-0.340353
-0.813416,0.776488
0.395628,0.637539
-0.557321,-0.339158
0.231625,-0.370545
0.431935,-0.148152
-0.075246,-0.153575
-0.015550,-0.461235
0.534397,-0.780012
-0.329784,-0.724465
0.433753,0.423657
0.302243,-0.447115
0.268427,0.140809
0.548035,-0.382166
0.089989,0.401972
-0.390568,-0.428514
0.152716,-0.312104
-0.036474,-0.884103
-0.256160,-0.339722
0.056385,-0.718152
0.181346,-0.502426
0.400878,0.459607
0.757987,0.120562
0.407978,-0.034171
0.222141,0.806069
-0.045169,-0.592224
-0.209905,0.326463
0.591963,0.494434
0.438142,-0.545945
0.310161,0.450859
-0.501014,-0.211511
0.486309,0.288080
0.165449,0.363457
-0.422144,0.856595
0.384198,0.398044
-0.817034,-0.225686
0.258138,-0.601474
-0.165724,-0.030070
-0.160175,-0.548190
-0.290500,0.245275
0.421319,-0.280118
-0.417567,-0.452451
-0.589888,0.041902
0.065104,-0.235921
0.484319,0.206878
-0.826494,0.176429
0.136745,0.317791
-0.235949,-0.631910
0.069292,-0.662229
0.385061,0.583432
0.509229,0.024654
-0.102190,0.108415
-0.096438,0.122097
0.229929,-0.067843
-0.935621,-0.531679
0.211353,0.173716
0.157832,0.341456
0.121805,0.167106
0.090799,0.014138
-0.031885,-0.081629
0.890773,0.205884
0.090030,0.823665
0.167562,-0.234235
0.027506,0.382676
0.140064,0.590790
-0.865620,-0.085335
-0.173263,-0.327508
-0.064437,0.698692
0.054607,-0.510674
0.458659,0.182967
-0.484906,-0.321749
0.176483,-0.872794
-0.191218,0.132362
0.573708,-0.287088
-0.039382,0.060047
-0.093452,-0.157035
-0.524629,0.057078
0.421046,-0.206541
-0.537416,-0.596420
-0.164179,0.270124
-0.147744,0.254448
-0.379362,-0.182045
0.139142,0.239279
0.059957,0.070811
-0.209471,-0.428324
-0.793601,0.767123
0.167673,-0.499565
-0.146828,0.055871
-0.063042,0.273442
0.256502,0.426246
-0.433443,0.004375
-0.330502,-0.238300
0.013545,0.417670
-0.809438,-0.121688
-0.625242,0.579557
-0.355948,-0.367393
0.551343,-0.554069
-0.012091,0.494337
0.180757,-0.289059
-0.076824,-0.590448
-0.213255,-0.576264
-0.462847,0.297153
0.591080,0.437477
-0.561654,-0.491984
0.853152,0.061124
0.043716,-0.273229
0.173120,0.044997
-0.712819,-0.078226
-0.389976,0.596377
0.102540,-0.617910
-0.289120,0.155589
0.624511,-0.637013
0.326175,-0.002759
0.395188,-0.806615
0.403810,-0.317406
-0.277363,0.133109
0.112412,0.089032
0.062472,-0.101353
-0.480062,-0.782131
0.292855,0.582981
-0.559497,0.221341
-0.224215,0.006750
0.050927,-0.420566
-0.756481,-0.444319
-0.172235,-0.658543
-0.302224,0.260320
0.176752,0.386787
0.328286,0.042322
-0.245927,-0.034249
-0.831350,-0.158773
-0.496699,-0.192625
-0.743054,0.509979
-0.610825,-0.218650
-0.638720,0.226321
-0.109258,-0.223234
-0.580188,-0.069006
0.822413,-0.502499
0.148502,0.582361
0.220544,-0.527644
0.091662,0.639228
