x,y,x_,y_
45.029975,49.867675,45.029975,49.867675
48.968384,51.594934,48.968384,51.594934
45.498519,51.572957,45.498519,51.572957
45.180880,48.681126,45.180880,48.681126
46.705234,53.665988,46.705234,53.665988
53.812957,52.823443,53.812957,52.823443
47.597276,47.729685,47.597276,47.729685
49.758062,53.747346,49.758062,53.747346
45.502141,51.958513,45.502141,51.958513
53.481942,50.721806,53.481942,50.721806
53.971282,47.168354,53.971282,47.168354
50.780542,48.589285,50.780542,48.589285
45.819191,51.720710,45.819191,51.720710
47.225532,49.592047,47.225532,49.592047
48.277537,50.525700,48.277537,50.525700
51.528781,54.016468,51.528781,54.016468
50.194966,46.791529,50.194966,46.791529
54.193618,51.163766,54.193618,51.163766
48.005715,51.881859,48.005715,51.881859
50.673187,54.208439,50.673187,54.208439
51.158932,48.217499,51.158932,48.217499
52.789335,50.292839,52.789335,50.292839
50.316141,53.380155,50.316141,53.380155
54.160970,51.900940,54.160970,51.900940
49.479173,46.474965,49.479173,46.474965
50.674999,54.669518,50.674999,54.669518
45.676081,48.942081,45.676081,48.942081
50.984871,52.669239,50.984871,52.669239
48.361577,52.856637,48.361577,52.856637
47.267029,47.455462,47.267029,47.455462
49.821344,47.324397,49.821344,47.324397
52.398221,47.276499,52.398221,47.276499
53.839289,48.033746,53.839289,48.033746
54.333463,51.250592,54.333463,51.250592
54.937077,49.598140,54.937077,49.598140
52.708173,46.859825,52.708173,46.859825
46.223295,53.224759,46.223295,53.224759
53.932518,52.363815,53.932518,52.363815
48.953223,46.892091,48.953223,46.892091
51.599624,54.626756,51.599624,54.626756
45.540260,47.806854,45.540260,47.806854
45.773296,50.952957,45.773296,50.952957
50.386515,46.162807,50.386515,46.162807
54.739890,51.059407,54.739890,51.059407
52.923677,48.565414,52.923677,48.565414
48.136384,48.341408,48.136384,48.341408
49.388400,50.831985,49.388400,50.831985
48.965021,45.215297,48.965021,45.215297
53.269351,48.476004,53.269351,48.476004
46.485153,47.127651,46.485153,47.127651
52.874226,47.646286,52.874226,47.646286
45.023383,49.806330,45.023383,49.806330
53.747512,52.937914,53.747512,52.937914
48.213934,51.490588,48.213934,51.490588
51.942892,53.850463,51.942892,53.850463
54.031711,50.568296,54.031711,50.568296
49.056139,46.587039,49.056139,46.587039
48.172786,50.010906,48.172786,50.010906
46.909611,49.872886,46.909611,49.872886
52.339176,54.009353,52.339176,54.009353
53.492989,47.619201,53.492989,47.619201
46.488472,51.240940,46.488472,51.240940
47.936194,53.287256,47.936194,53.287256
47.146657,53.168428,47.146657,53.168428
47.831331,51.060007,47.831331,51.060007
52.174236,52.147493,52.174236,52.147493
50.783278,54.499747,50.783278,54.499747
52.670315,49.989889,52.670315,49.989889
49.008154,50.050381,49.008154,50.050381
53.924767,52.202379,53.924767,52.202379
45.115976,50.902739,45.115976,50.902739
45.039711,50.304455,45.039711,50.304455
51.058522,50.563371,51.058522,50.563371
48.169725,48.661758,48.169725,48.661758
50.644137,46.043966,50.644137,46.043966
52.236925,46.417616,52.236925,46.417616
47.697987,50.062205,47.697987,50.062205
47.726251,45.636740,47.726251,45.636740
50.307568,49.303152,50.307568,49.303152
45.858319,50.431140,45.858319,50.431140
54.233934,49.858403,54.233934,49.858403
46.073270,52.134993,46.073270,52.134993
53.676945,48.922206,53.676945,48.922206
48.485092,48.990351,48.485092,48.990351
53.874368,47.786914,53.874368,47.786914
47.452076,47.447358,47.452076,47.447358
48.025003,46.527802,48.025003,46.527802
47.173454,53.504483,47.173454,53.504483
54.209702,51.332135,54.209702,51.332135
54.476636,49.477490,54.476636,49.477490
53.677474,48.177205,53.677474,48.177205
53.257768,52.513215,53.257768,52.513215
50.804391,49.409110,50.804391,49.409110
47.838768,46.547016,47.838768,46.547016
52.981025,51.680466,52.981025,51.680466
49.934718,52.810762,49.934718,52.810762
54.508018,48.382421,54.508018,48.382421
49.880728,45.399580,49.880728,45.399580
48.737335,48.441429,48.737335,48.441429
47.635128,53.163937,47.635128,53.163937
53.796897,52.896337,53.796897,52.896337
45.767264,50.217757,45.767264,50.217757
45.362830,51.152275,45.362830,51.152275
53.340589,46.491608,53.340589,46.491608
51.151944,50.709477,51.151944,50.709477
53.824731,51.447089,53.824731,51.447089
50.348065,49.933777,50.348065,49.933777
54.280116,47.885800,54.280116,47.885800
51.758852,50.964980,51.758852,50.964980
45.771888,48.998576,45.771888,48.998576
48.499179,45.899965,48.499179,45.899965
49.526072,54.671406,49.526072,54.671406
47.407488,47.992538,47.407488,47.992538
52.210820,47.531752,52.210820,47.531752
49.294681,45.750740,49.294681,45.750740
51.330622,53.635536,51.330622,53.635536
48.322016,48.226058,48.322016,48.226058
49.830681,54.255931,49.830681,54.255931
50.487492,53.254146,50.487492,53.254146
54.255140,47.976041,54.255140,47.976041
51.160775,49.172158,51.160775,49.172158
45.646723,52.198361,45.646723,52.198361
53.555371,46.567106,53.555371,46.567106
51.616785,53.127594,51.616785,53.127594
49.770073,45.626532,49.770073,45.626532
47.279013,48.629622,47.279013,48.629622
46.938222,50.547883,46.938222,50.547883
47.450163,54.199321,47.450163,54.199321
48.952910,51.517975,48.952910,51.517975
51.153001,48.528887,51.153001,48.528887
50.165940,48.952034,50.165940,48.952034
47.121917,48.409572,47.121917,48.409572
51.138589,46.358390,51.138589,46.358390
54.053840,51.688342,54.053840,51.688342
45.462854,51.761921,45.462854,51.761921
51.771530,53.831774,51.771530,53.831774
48.139233,46.373135,48.139233,46.373135
46.007191,51.717974,46.007191,51.717974
50.396097,47.212514,50.396097,47.212514
53.021102,46.539456,53.021102,46.539456
47.895421,48.495256,47.895421,48.495256
49.685297,50.791533,49.685297,50.791533
49.727765,54.544188,49.727765,54.544188
47.622413,49.903527,47.622413,49.903527
46.868713,51.911472,46.868713,51.911472
